exprid,Time_chopin,NC_chopin,MM_chopin
1,13.27109647,-123.56128013495025,0.45237717723868665
2,11.808770293,-123.25232443495835,0.4533885467700711
3,11.65460808,-123.7104973853379,0.4416904180374464
4,12.025547212,-123.09522599608279,0.42617851775407106
5,11.866500621,-123.07635067389816,0.4658152925305375
6,12.072225746,-123.7408171949743,0.4362671870589927
7,11.990276162,-122.96538377871006,0.46544038567675305
8,12.241335670000002,-123.95101940879451,0.43259297279351805
9,12.186307249,-122.98013038044074,0.44965876611071876
10,12.204981376000001,-122.60299416097202,0.4468227056355224
11,12.043222206000001,-123.44348634508881,0.43323784027988543
12,11.900882372,-123.30069612394892,0.4771284415302677
13,11.777103209000002,-122.69513169392894,0.44199968703176945
14,12.014850828,-124.40358645034954,0.45746603141900033
15,12.030689133,-123.41861168761402,0.4301531554048478
16,12.206597249,-122.99274864663693,0.4368487867503238
17,12.115751128,-123.68006096237826,0.4577452522208951
18,12.508246128,-123.68162221813178,0.4644132562030414
19,12.082523584999999,-123.53052087202622,0.45056457674723527
20,12.250064959,-123.16535281719098,0.4492375525267661
21,12.940897289999999,-122.66322593848963,0.44652268233258324
22,11.753920122,-122.5320022085684,0.42970718295522237
23,11.716635124,-122.28911109426888,0.4301213633426078
24,12.189823624,-122.69652166667287,0.4351341155393631
25,12.09208037,-123.62364767605484,0.4097798287699574
26,11.981611876,-122.92973875644492,0.4423598945380244
27,11.748095125999999,-123.41425983405989,0.46529833603297277
28,12.100586918000001,-122.91195268128187,0.4522863988755259
29,11.996598746,-122.58550096430159,0.4033925154370609
30,12.078204166999999,-123.45310725737349,0.4199104906956699
31,12.095199758,-123.21586471044122,0.44127942796846986
32,12.14983962,-122.89593521099285,0.45203078715854095
33,12.056284541,-122.40565340220897,0.4769446111201027
34,12.194017666,-123.76969136773067,0.4246012191708591
35,11.640687874000001,-123.92756052802862,0.42153875447774336
36,12.247840708,-123.59112384443347,0.44046978569800643
37,11.849607918,-122.99027022351643,0.4459032597148929
38,11.937298001,-122.88868223296717,0.43643510098306837
39,11.594352957,-122.73651809010966,0.43338839938661416
40,12.655627584000001,-122.92500437849066,0.4852763255904051
41,13.174511048000001,-124.1749530798426,0.4472777392028289
42,11.790308671,-123.48920192950752,0.44845273040381756
43,11.864910752,-123.02051158186788,0.46112934607806694
44,12.112750244999999,-123.60597994554232,0.427336495514923
45,11.486333883,-122.96574570495352,0.4418024446458596
46,11.479389168,-122.49757258111714,0.4203091347996667
47,11.81201104,-122.52817509079584,0.4403594278394875
48,11.750871707000002,-124.25793525757814,0.4418029716852543
49,12.073707836,-123.20702752948861,0.44900203685782186
50,11.767949131,-122.7413898294406,0.46067898416112335
51,11.795325042,-122.88709056805132,0.431727446981775
52,11.968164827999999,-123.01733513562073,0.4508578422287187
53,11.955213168,-123.67397165649925,0.43051557330985013
54,12.024095544000001,-124.150159284972,0.44335201756653864
55,12.140469921,-124.10031992400664,0.42822570839069374
56,12.104454461,-122.89697546989022,0.462298219965252
57,12.525057084,-123.60021834387865,0.4781528830428629
58,12.290442251,-123.35648783509596,0.4381944038493798
59,12.056982498,-123.69703791278096,0.4227117567467003
60,12.559011169,-123.02231458231059,0.4243114673713311
61,13.069253279,-123.53226676211227,0.46196772066553626
62,11.814411667,-123.14011893961833,0.4516957899184327
63,11.661960950000001,-123.63301882091456,0.450928334293354
64,12.156830629000002,-123.58148780931685,0.45356592433314424
65,11.413297250000001,-123.03989944842724,0.42998336769340434
66,11.738953873,-123.55720333425995,0.4198677476551459
67,11.792179376,-123.53906816223528,0.4235183312978055
68,11.518814253,-123.88911397528916,0.39759913944533715
69,11.928306166999999,-122.47748889011287,0.4381855677605019
70,12.266375539,-123.58245116582063,0.4419626154618628
71,12.343673292999998,-123.4235073056517,0.4247607582821449
72,11.807393332,-123.01056808678089,0.4373851331356854
73,11.987662711999999,-122.69705368780222,0.42725300488808854
74,12.260334626,-122.47638094008528,0.4376276400708641
75,12.022448829000002,-123.38254485146221,0.4176422645358512
76,12.315049792,-122.77362467003775,0.4629236272143865
77,12.082297003,-123.50336663867527,0.43892892172450126
78,12.074218499999999,-123.30349387686542,0.4493879881784777
79,12.531090706999999,-123.02236449517062,0.4718125928487306
80,12.625363375,-122.73499583082665,0.42696818422647065
81,12.860185237,-122.99896913169364,0.43100135333074463
82,11.749283796,-123.21837193664511,0.45702198641152547
83,11.694124785,-122.44127131659464,0.4375440130342535
84,12.077335419,-124.38748525000707,0.4668815745014086
85,12.040747794,-123.68982921802929,0.44109567750241774
86,11.791211833,-123.63781427221333,0.44921328677070205
87,11.619361086,-123.56947209701258,0.4580059300936046
88,11.831493295,-122.1094950144616,0.4498269549341971
89,11.971744870999999,-123.25962010850779,0.44941468568526277
90,12.098796286,-123.71039336995915,0.41943355378274294
91,11.850469796,-123.0432765030333,0.4600404367855254
92,11.770188126,-123.3202807942354,0.41126752944642564
93,12.315371255,-122.7344696500437,0.43940810897618926
94,11.502871792,-123.60035691686828,0.4455987910290785
95,11.792605459,-124.75308521518899,0.44421251811853624
96,12.454498584,-123.93113077490722,0.4577803119402678
97,11.875199498999999,-123.9247536951777,0.4518472931305736
98,11.650186333,-122.88525925588813,0.44214306535155073
99,11.620288085,-124.34626727043202,0.4424656542081612
100,12.470918834999999,-123.54582189888113,0.4241101528466614
